size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
10,9.016,Peerless,835028,264-1105,4,160,81.3,9,34,1.12,0.51,0.74,53,1.86,25,20,500
8,7.5,Peerless,835026,264-1100,8,75,86.8,6.02,27,2.33,0.41,0.65,56,1.94,31,20,3000
6.5,5.75,Peerless,835025,264-1086,8,55,87.2,5.39,38,0.87,0.4,0.23,81,0.67,45,20,3000
5.25,4.75,Peerless,835024,264-1076,8,30,86.1,3.5,72,0.19,0.65,0.24,95,0.49,48,20,5000
12,11,Peerless,835017,264-1114,4,175,90.6,12.5,19.4,5.97,0.34,1.04,49,2.64,29,19,1000
10,9.44,Peerless,835016,264-1106,4,175,90.5,12.5,22.4,3.32,0.32,0.5,60,1.2,37,23,1000
4,4,Peerless,830992,264-1066,8,30,85.9,3,89,0.085,0.58,0.07,131,0.18,64,20,5000
5.25,4.75,Peerless,830991,264-1074,8,30,87,4.55,66,0.24,0.49,0.11,115,0.36,58,66,7000
6.5,5.75,Peerless,830990,264-1084,8,50,88.4,5.39,46,0.71,0.39,0.17,101,0.5,56,20,3000
3,2.84,Peerless,830987,264-1054,8,20,82.6,2.05,103,0.04,0.94,0.1,98,0.22,59,54,20000
3,2.83,Peerless,830986,264-1056,8,20,84.8,2.05,102,0.03,0.76,0.1,109,0.11,61,50,20000
2.5,2.43,Peerless,830984,264-1048,8,7,82.5,2.05,111,0.03,0.72,0.1,123,0.1,68,100,10000
2,1.97,Peerless,830983,264-1042,4,7,82.2,1.65,176,0.01,0.71,0.04,199,0.03,108,150,20000
6.5,5.79,Peerless,830946,264-1148,4,75,82,8.2,42,0.4,0.35,0.09,95,0.21,55,20,1000
6.5,5.75,Peerless,830883,264-1094,8,30,87.8,5.62,42,0.77,0.36,0.15,100,0.41,58,42,6500
6.5,5.75,Peerless,830875,264-1092,8,50,88.6,5.5,48.1,0.62,0.39,0.15,105,0.44,59,20,6500
6.5,5.75,Peerless,830874,264-1090,8,50,87.8,5.5,47.3,0.59,0.4,0.15,101,0.45,56,20,6000
4,4,Peerless,830870,264-1070,8,30,87,3,77.6,0.11,0.54,0.07,123,0.2,60,20,5000
8,7.5,Peerless,830869,264-1098,8,75,89.7,4.5,30,2.48,0.38,0.57,67,1.6,38,20,3000
5.25,4.75,Peerless,830860,264-1080,8,30,88.3,3.5,56.1,0.37,0.41,0.1,117,0.31,64,20,6000
12,10.9,Peerless,830669,264-1118,8,110,91.2,8,28,6.08,0.47,2.41,51,8,27,25,1500
10,8.82,Peerless,830668,264-1110,8,110,88.7,8,33.3,2.44,0.51,1.25,56,3.92,28,33.3,2000
8,7,Peerless,830667,264-1102,8,110,87.2,8.5,36.5,1.16,0.54,0.72,58,2.09,28,36.5,2000
6.5,5.75,Peerless,830657,264-1088,8,60,89.5,3,52,0.82,0.5,0.4,89,1.27,45,40,3000
5.25,4.6,Peerless,830656,264-1078,8,60,87,3.5,62.4,0.32,0.54,0.2,99,0.58,48,40,4000
10,9.4,Peerless,830452,264-1108,4,150,88.4,12.5,18.9,3.16,0.17,0.12,95,0.24,65,19,700
15,13.875,Factory Buyouts,574860,299-461,8+8,200,96,3.5,41.72,9.66,0.96,15.33,42,,,40,2000
7,6.25,Usher,8948A,296-603,8,70,87,6,45,0.69,0.38,0.16,101,0.44,57,45,5000
7,6.25,Usher,8945A,296-600,8,80,87,6,35,1.21,0.31,0.17,97,0.4,61,35,8000
7,6.25,Usher,8836AC2,296-608,8,70,87,5,31,1.64,0.33,0.27,80,0.66,49,31,5000
18,16.625,JBL,2268HPL,294-454,8,800,96,8,33,11.58,0.36,2.67,75,6.08,44,30,1000
